,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
264,4,265,We Are The Champions,Queen,7.0,Arena,1977.0,0265_queen_weAreTheChampions.mp4
134,2,135,Rolling in the Deep,Adele,5.0,Vocal,2011.0,0135_adele_rollingInTheDeep.mp4
244,4,245,Billie Jean,Michael Jackson,5.0,Dance,1982.0,0245_michaelJackson_billieJean.mp4
129,2,130,Locked Out of Heaven,Bruno Mars,5.0,Funk/Soul,2012.0,0130_brunoMars_lockedOutOfHeaven.mp4
143,2,144,Poker Face,Lady Gaga,3.0,House,2009.0,0144_ladyGaga_pokerFace.mp4
136,2,137,Firework,Katy Perry,5.0,Contemporary,2010.0,0137_katyPerry_firework.mp4
135,2,136,Just the Way You Are,Bruno Mars,5.0,Contemporary,2010.0,0136_brunoMars_justTheWayYouAre.mp4
127,2,128,We Are Young,Fun featuring Janelle Monáe,7.0,Indie,2012.0,0128_funFeaturingJanelleMonáe_weAreYoung.mp4
131,2,132,We Found Love,Rihanna featuring Calvin Harris,3.0,House,2011.0,0132_rihannaFeaturingCalvinHarris_weFoundLove.mp4
233,4,234,Come Fly With Me,Frank Sinatra,4.0,Vocal,1957.0,0234_frankSinatra_comeFlyWithMe.mp4
276,4,277,Rock With You,Michael Jackson,8.0,Dance,1979.0,0277_michaelJackson_rockWithYou.mp4
103,2,104,That's What I Like,Bruno Mars,8.0,Contemporary,2017.0,0104_brunoMars_thatsWhatILike.mp4
271,4,272,I Got You (I Feel Good),James Brown,8.0,Funk,1964.0,0272_jamesBrown_iGotYouFeelGood.mp4
275,4,276,Stayin' Alive,Bee Gees,8.0,Disco,1977.0,0276_beeGees_stayinAlive.mp4
242,4,243,Ain't No Mountain High Enough,Marvin Gaye,5.0,Motown,1967.0,0243_marvinGaye_aintNoMountainHighEnough.mp4
996,5,997,Back To Hyperion - Original Mix,Agneton,3.0,goa trance,2012.0,0997_agneton_backToHyperionOriginalMix.mp4
983,5,984,Man Don't Care,Jme,6.0,grime,2015.0,0984_jme_manDontCare.mp4
827,5,828,This Mother's Heart,Katherine Jenkins,5.0,operatic pop,2016.0,0828_katherineJenkins_thisMother'SHeart.mp4
407,5,408,Everywhere,Michelle Branch,2.0,folk-pop,2001.0,0408_michelleBranch_everywhere.mp4
927,5,928,Nebraska,moe.,7.0,jam band,1998.0,0928_moe._nebraska.mp4
515,5,516,Reaching For The Sky,Noisekick,3.0,speedcore,2016.0,0516_noisekick_reachingForTheSky.mp4
838,5,839,Can't U See - Original Mix,Alex Agore,3.0,deep soul house,2017.0,0839_alexAgore_cantUSee-OriginalMix.mp4
604,5,605,A Los Santos Reyes,Daniel Santos,9.0,latin christmas,1905.0,0605_danielSantos_aLosSantosReyes.mp4
561,5,562,Holy Toledo,Vundabar,7.0,indie garage rock,2013.0,0562_vundabar_holyToledo.mp4
401,5,402,Sur la route blanche,Reda Caire,9.0,vintage chanson,2010.0,0402_redaCaire_surLaRouteBlanche.mp4
794,5,795,Lovely Leitrim,Larry Cunningham,2.0,irish country,2012.0,0795_larryCunningham_lovelyLeitrim.mp4
787,5,788,Me Voy (feat. Romeo Santos),"Héctor Acosta ""El Torito""",9.0,bachata,2008.0,0788_héctorAcostaElTorito_meVoy(Feat.RomeoSantos).mp4
535,5,536,Theme From The Italian Job,England Supporters Club,5.0,football,2006.0,0536_englandSupportersClub_themeFromTheItalianJob.mp4
824,5,825,Clear Blue Sky,Followed By Ghosts,7.0,atmospheric post rock,2007.0,0825_followedByGhosts_clearBlueSky.mp4
523,5,524,Costalero Del Soberano,Banda de Cornetas y Tambores Ntra. Señora de la Victoria Las Cigarreras,9.0,cornetas y tambores,2002.0,0524_bandaDeCornetasYTamboresNtraSenoraDeLaVictoriaLasCigarreras_costaleroDelSoberano.mp4
