,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
0,1,1,Je Vous Pri Que J'Aye un Baysier,Richard Loqueville,1.0,Medieval,1418.0,0001_richardLoqueville_jeVousPriQueJAyeUnBaysier.mp4
1,1,8,Man! I Feel Like a Woman!,Shania Twain,2.0,Country Rock,1997.0,0008_shaniaTwain_manIFeelLikeAWoman.mp4
2,1,10,Music Sounds Better With You,Stardust,3.0,House,1998.0,0010_stardust_musicSoundsBetterWithYou.mp4
3,1,11,Satisfaction,Benny Benassi,3.0,Techno,2002.0,0011_bennyBenassi_satisfaction.mp4
4,1,13,Feel It All Around,Washed Out,3.0,Downtempo,2009.0,0013_washedOut_feelItAllAround.mp4
5,1,16,Spain,Chick Corea,4.0,Fusion,1971.0,0016_chickCorea_spain.mp4
6,1,19,Blue (Da Ba Dee),Eiffel 65,5.0,Euro,1999.0,0019_eiffel65_blueDaBaDee.mp4
7,1,23,Gin and Juice,Snoop Dogg,6.0,G-Funk,1993.0,0023_snoopDogg_ginAndJuice.mp4
8,1,26,"Good Times, Bad Times",Led Zeppelin,7.0,Hard,1969.0,0026_ledZeppelin_goodTimesBadTimes.mp4
9,1,29,Hoochie Coochie Man,Muddy Waters,8.0,Blues,1954.0,0029_muddyWaters_hoochieCoochieMan.mp4
10,1,30,Three Little Birds,Bob Marley,8.0,Reggae,1980.0,0030_bobMarley_threeLittleBirds.mp4
11,1,41,My Favorite Polka,Frankie Yankovic,9.0,Polka,1957.0,0041_frankieYankovic_myFavoritePolka.mp4
12,1,42,Backbone,Boney James,8.0,Quiet Storm,1994.0,0042_boneyJames_backbone.mp4
13,1,45,That Lucky Old Sun,Frankie Laine,2.0,Country,1958.0,0045_frankieLaine_thatLuckyOldSun.mp4
14,1,52,Dirty Angels,Cats Choir,7.0,Hard,1991.0,0052_catsChoir_dirtyAngels.mp4
15,1,53,Heute Nact,Brigitte,5.0,Euro,2002.0,0053_brigitte_heuteNact.mp4
16,1,54,Laughter in the rain,Earl Klugh,4.0,Smooth,1976.0,0054_earlKlugh_laughterInTheRain.mp4
