,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
0,1,5,Blue Moon of Kentucky,Bill Monroe,2.0,Bluegrass,1947.0,0005_billMonroe_blueMoonOfKentucky.mp4
1,1,6,Blowin' in the Wind,Bob Dylan,2.0,Folk,1963.0,0006_bobDylan_blowinInTheWind.mp4
2,1,7,Folsom Prison Blues,Johnny Cash,2.0,Country Blues,1955.0,0007_johnnyCash_folsomPrisonBlues.mp4
3,1,11,Satisfaction,Benny Benassi,3.0,Techno,2002.0,0011_bennyBenassi_satisfaction.mp4
4,1,13,Feel It All Around,Washed Out,3.0,Downtempo,2009.0,0013_washedOut_feelItAllAround.mp4
5,1,21,Shake it Off,Taylor Swift,5.0,Contemporary,2014.0,0021_taylorSwift_shakeItOff.mp4
6,1,22,It Was A Good Day,Ice Cube,6.0,Gangsta,1993.0,0022_iceCube_itWasAGoodDay.mp4
7,1,24,Truffle Butter,Nicki Minaj,6.0,Contemporary ,2014.0,0024_nickiMinaj_truffleButter.mp4
8,1,27,Enter Sandman,Metallica,7.0,Metal,1991.0,0027_metallica_enterSandman.mp4
9,1,28,Smells Like Teen Spirit,Nirvana,7.0,Grunge,1991.0,0028_nirvana_smellsLikeTeenSpirit.mp4
10,1,35,Symphony No. 1 in B Flat Major,William Boyce,1.0,Classical,1760.0,0035_williamBoyce_symphonyNo1InBFlatMajor.mp4
11,1,36,Easy Zancudo,Ruben Gonzalez,9.0,Latin,2005.0,0036_rubenGonzalez_easyZancudo.mp4
12,1,46,Texas Tornado,Tracy Lawrence,2.0,Mainstream country,1994.0,0046_tracyLawrence_texasTornado.mp4
13,1,50,Get It On,Kingdom Come,7.0,Classic rock,1988.0,0050_kingdomCome_getItOn.mp4
14,1,54,Laughter in the rain,Earl Klugh,4.0,Smooth,1976.0,0054_earlKlugh_laughterInTheRain.mp4
15,1,56,See You Again,Wiz Khalifa ft. Charlie Puth,6.0,Contemporary,2015.0,0056_wizKhalifaFtCharliePuth_seeYouAgain.mp4
16,1,57,All About That Bass,Meghan Trainor,5.0,Pop/Raggae,2014.0,0057_meghanTrainor_allAboutThatBass.mp4
17,1,61,"""3""",Britney Spears,5.0,Contemporary,2009.0,0061_britneySpears_3.mp4
18,1,62,Whatever You Like,T.I.,6.0,HipHop/Pop,2008.0,0062_ti_whateverYouLike.mp4
19,1,68,Foolish,Ashanti,8.0,Contemporary,2002.0,0068_ashanti_foolish.mp4
20,1,73,Hypnotize,Notorious B.I.G.,6.0,Gangsta,1997.0,0073_notoriousBIG_hypnotize.mp4
21,1,82,Every Rose Has Its Thorn,Poison,7.0,Hair Metal,1988.0,0082_poison_everyRoseHasItsThorn.mp4
22,1,83,With Or Without You,U2,7.0,Pop,1987.0,0083_u2_withOrWithoutYou.mp4
23,1,91,Happy,Pharrell Williams,5.0,Soul,2013.0,0091_pharrellWilliams_happy.mp4
24,1,97,"Gypsies, Tramps, And Thieves",Cher,7.0,Pop/Rock,1971.0,0097_cher_gypsiesTrampsAndThieves.mp4
25,1,98,The Long and Winding Road,The Beatles,7.0,Pop/Rock,1970.0,0098_theBeatles_theLongAndWindingRoad.mp4
26,2,101,Rockstar,Post Malone featuring 21 Savage,6.0,Contemporary,2017.0,0101_postMaloneFeaturing21Savage_rockstar.mp4
27,2,102,Perfect,Ed Sheeran,7.0,Pop/Rock,2017.0,0102_edSheeran_perfect.mp4
28,2,103,Shape of You,Ed Sheeran,5.0,Contemporary,2017.0,0103_edSheeran_shapeOfYou.mp4
29,2,104,That's What I Like,Bruno Mars,8.0,Contemporary,2017.0,0104_brunoMars_thatsWhatILike.mp4
30,2,105,Despacito,Luis Fonsi and Daddy Yankee featuring Justin Bieber,5.0,Latin,2017.0,0105_luisFonsiAndDaddyYankeeFeaturingJustinBieber_despacito.mp4
31,2,106,Closer,The Chainsmokers featuring Halsey,5.0,Synthpop,2016.0,0106_theChainsmokersFeaturingHalsey_closer.mp4
