,Source,Number,Title,Artist,Genre,Subgenre/Style,Year,Clip name
624,5,625,Part of Your World,Jodi Benson,5.0,disney,1905.0,0625_jodiBenson_partOfYourWorld.mp4
323,5,324,Plans,Birds Of Tokyo,7.0,perth indie,2010.0,0324_birdsOfTokyo_plans.mp4
887,5,888,Paper Hearts (feat. Bailey Jehl),Paper Hearts (feat. Bailey Jehl),7.0,indiecoustica,2013.0,0888_silverTrees_paperHeartsFeatBaileyJehl.mp4
722,5,723,short hair,Base Ball Bear,7.0,japanese city pop,2011.0,0723_baseBallBear_shortHair.mp4
826,5,827,Breaking Point (Bonus Track) - Instrumental,RADIx,3.0,demoscene,2008.0,0827_radix_breakingPointBonusTrack-Instrumental.mp4
590,5,591,Ni Ze Mo Shou,Teresa Teng,9.0,enka,2980.0,0591_teresaTeng_niZeMoShou.mp4
451,5,452,Imagine (7th Heaven Radio Mix),Sir Ivan,3.0,deep vocal house,2001.0,0452_sirIvan_imagine-7thHeavenRadioMix.mp4
582,5,583,The Shapes of Things to Come,Sonne Hagal,2.0,neofolk,2014.0,0583_sonneHagal_theShapesOfThingsToCome.mp4
613,5,614,That's My Way - Alok Remix,Edi Rock,3.0,brazilian hip hop,2016.0,0614_ediRock_thatsMyWay-AlokRemix.mp4
397,5,398,Kieteikuyo,KEYTALK,9.0,j-indie,2010.0,0398_keytalk_kieteikuyo.mp4
989,5,990,Big Truck - Albeezy Remix,DJ Madness,9.0,terrorcore,2018.0,0990_djMadness_bigTruckAlbeezyRemix.mp4
955,5,956,Zephyretta,Them Clones,7.0,indian rock,2010.0,0956_themClones_zephyretta.mp4
531,5,532,,Borja Rubio,9.0,pop flamenco,2017.0,0532_borjaRubio_seVaElAmor.mp4
765,5,766,Be Still,Ex Confusion,9.0,fourth world,2012.0,0766_exConfusion_beStill.mp4
486,5,487,For Morty,Christian Wolff,1.0,microtonal,2013.0,0487_christianWolff_forMorty.mp4
427,5,428,Important,Way Yes,3.0,indie psych-pop,2010.0,0428_wayYes_important.mp4
391,5,392,Lila,Rodriguez Jr.,3.0,deep melodic euro house,2014.0,0392_rodriguezJr_lila.mp4
959,5,960,River,Juxtaposition,,college a cappella,2017.0,0960_juxtaposition_river.mp4
716,5,717,Vol Ontzag,Christian Verwoerd,9.0,christelijk,2015.0,0717_christianVerwoerd_volOntzag.mp4
640,5,641,Keep It Dancin' - Fernando Campo Remix,Chus & Ceballos,3.0,tribal house,2016.0,0641_chus&Ceballos_keepItDancin-FernandoCampoRemix.mp4
723,5,724,Pennsylvania Polka,Frank Yankovic and His Yanks,5.0,polka,1993.0,0724_frankYankovicAndHisYanks_pennsylvaniaPolka.mp4
421,5,422,Ce Rost Au Zilele Mele,Sorin Copilul de Aur,9.0,manele,2013.0,0422_sorinCopilulDeAur_ceRostAuZileleMele.mp4
525,5,526,Berceuse,Lo Mimieux,1.0,focus,2016.0,0526_loMimieux_berceuse.mp4
825,5,826,Colors Of The Wind,Judy Kuhn,5.0,movie tunes,1995.0,0826_judyKuhn_colorsOfTheWind.mp4
681,5,682,Thunderstruck,Gordon Duncan,9.0,pipe band,2003.0,0682_gordonDuncan_thunderstruck.mp4
550,5,551,Music of the Air,Tim Hecker,3.0,intelligent dance music,2016.0,0551_timHecker_musicOfTheAir.mp4
494,5,495,Requiem Aeternam,Michel Chion,3.0,musique concrete,2008.0,0495_michelChion_requiemAeternam.mp4
570,5,571,No One Wins,Left Standing,7.0,vegas indie,1905.0,0571_leftStanding_noOneWins.mp4
836,5,837,Tha Crossroads,Bone Thugs-N-Harmony,6.0,gangster rap,1995.0,0837_boneThugs-N-Harmony_thaCrossroads.mp4
495,5,496,Buldirgen,Folk Ensemble Of The Presidential Orchestra,9.0,central asian folk,2005.0,0496_folkEnsembleOfThePresidentialOrchestra_buldirgen.mp4
